drug_1,drug_2,drug_1_concentration,drug_2_concentration,cell_line,response
Amifostine,Ifosfamide,1e-4,1e-5,MOLT-4,99.48
Amifostine,Chlorambucil,1e-4,1e-5,MOLT-4,62.495
Hydroxyurea,Chlorambucil,1e-4,1e-5,MOLT-4,7.089
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,MOLT-4,84.93
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,MOLT-4,104.68
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,MOLT-4,31.863
Ifosfamide,Chlorambucil,1e-4,1e-6,MOLT-4,104.458
Amifostine,Ifosfamide,1e-4,1e-6,MOLT-4,100.31
Amifostine,Chlorambucil,1e-4,1e-6,MOLT-4,102.337
Hydroxyurea,Chlorambucil,1e-4,1e-6,MOLT-4,99.759
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,MOLT-4,76.64
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,MOLT-4,55.7
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,MOLT-4,114.142
Ifosfamide,Chlorambucil,1e-5,1e-4,MOLT-4,-83.025
Amifostine,Ifosfamide,1e-5,1e-4,MOLT-4,100.35
Amifostine,Chlorambucil,1e-5,1e-4,MOLT-4,-76.103
Hydroxyurea,Chlorambucil,1e-5,1e-4,MOLT-4,-79.765
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,MOLT-4,99.02
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,MOLT-4,105.87
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,MOLT-4,-79.726
Ifosfamide,Chlorambucil,1e-5,1e-5,MOLT-4,41.785
Amifostine,Ifosfamide,1e-5,1e-5,MOLT-4,93.05
Amifostine,Chlorambucil,1e-5,1e-5,MOLT-4,46.935
Hydroxyurea,Chlorambucil,1e-5,1e-5,MOLT-4,12.662
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,MOLT-4,102.21
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,MOLT-4,104.21
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,MOLT-4,54.659
Ifosfamide,Chlorambucil,1e-5,1e-6,MOLT-4,106.212
Amifostine,Ifosfamide,1e-5,1e-6,MOLT-4,92.43
Amifostine,Chlorambucil,1e-5,1e-6,MOLT-4,91.536
Hydroxyurea,Chlorambucil,1e-5,1e-6,MOLT-4,88.375
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,MOLT-4,100.16
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,MOLT-4,98.13
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,MOLT-4,106.044
Ifosfamide,Chlorambucil,1e-6,1e-4,MOLT-4,-82.54
Amifostine,Ifosfamide,1e-6,1e-4,MOLT-4,95.33
Amifostine,Chlorambucil,1e-6,1e-4,MOLT-4,-76.231
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,MOLT-4,93.35
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,MOLT-4,100.51
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,MOLT-4,-78.594
Ifosfamide,Chlorambucil,1e-6,1e-5,MOLT-4,51.94
Amifostine,Ifosfamide,1e-6,1e-5,MOLT-4,93.03
Amifostine,Chlorambucil,1e-6,1e-5,MOLT-4,67.562
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,MOLT-4,104.83
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,MOLT-4,111.21
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,MOLT-4,65.1
Ifosfamide,Chlorambucil,1e-6,1e-6,MOLT-4,87.272
Amifostine,Ifosfamide,1e-6,1e-6,MOLT-4,95.11
Amifostine,Chlorambucil,1e-6,1e-6,MOLT-4,96.712
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,MOLT-4,96.48
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,MOLT-4,78.89
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,MOLT-4,100.964
Hydroxyurea,Chlorambucil,3e-5,1e-4,MOLT-4,-80.811
Hydroxyurea,Chlorambucil,3e-5,1e-5,MOLT-4,22.912
Hydroxyurea,Chlorambucil,3e-5,1e-6,MOLT-4,90.706
Ifosfamide,Chlorambucil,1e-4,1e-4,NCI/ADR-RES,46.572
Amifostine,Ifosfamide,1e-4,1e-4,NCI/ADR-RES,94.47
Amifostine,Chlorambucil,1e-4,1e-4,NCI/ADR-RES,57.446
Hydroxyurea,Chlorambucil,1e-4,1e-4,NCI/ADR-RES,58.713
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,NCI/ADR-RES,89.49
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,NCI/ADR-RES,85.8
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,NCI/ADR-RES,66.688
Ifosfamide,Chlorambucil,1e-4,1e-5,NCI/ADR-RES,95.086
Amifostine,Ifosfamide,1e-4,1e-5,NCI/ADR-RES,100.51
Amifostine,Chlorambucil,1e-4,1e-5,NCI/ADR-RES,101.89
Hydroxyurea,Chlorambucil,1e-4,1e-5,NCI/ADR-RES,88.251
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,NCI/ADR-RES,79.78
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,NCI/ADR-RES,87.85
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,NCI/ADR-RES,97.513
Ifosfamide,Chlorambucil,1e-4,1e-6,NCI/ADR-RES,102.198
Amifostine,Ifosfamide,1e-4,1e-6,NCI/ADR-RES,105.84
Amifostine,Chlorambucil,1e-4,1e-6,NCI/ADR-RES,111.062
Hydroxyurea,Chlorambucil,1e-4,1e-6,NCI/ADR-RES,91.882
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,NCI/ADR-RES,86.94
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,NCI/ADR-RES,92.28
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,NCI/ADR-RES,107.118
Ifosfamide,Chlorambucil,1e-5,1e-4,NCI/ADR-RES,47.292
Amifostine,Ifosfamide,1e-5,1e-4,NCI/ADR-RES,108.11
Amifostine,Chlorambucil,1e-5,1e-4,NCI/ADR-RES,63.735
Hydroxyurea,Chlorambucil,1e-5,1e-4,NCI/ADR-RES,55.014
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,NCI/ADR-RES,89.96
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,NCI/ADR-RES,89.37
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,NCI/ADR-RES,61.445
Ifosfamide,Chlorambucil,1e-5,1e-5,NCI/ADR-RES,89.699
Amifostine,Ifosfamide,1e-5,1e-5,NCI/ADR-RES,111.12
Amifostine,Chlorambucil,1e-5,1e-5,NCI/ADR-RES,98.314
Hydroxyurea,Chlorambucil,1e-5,1e-5,NCI/ADR-RES,90.514
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,NCI/ADR-RES,98.8
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,NCI/ADR-RES,99.34
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,NCI/ADR-RES,104.539
Ifosfamide,Chlorambucil,1e-5,1e-6,NCI/ADR-RES,105.415
Amifostine,Ifosfamide,1e-5,1e-6,NCI/ADR-RES,107.9
Amifostine,Chlorambucil,1e-5,1e-6,NCI/ADR-RES,111.681
Hydroxyurea,Chlorambucil,1e-5,1e-6,NCI/ADR-RES,106.504
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,NCI/ADR-RES,108.07
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,NCI/ADR-RES,109.35
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,NCI/ADR-RES,105.978
Ifosfamide,Chlorambucil,1e-6,1e-4,NCI/ADR-RES,45.173
Amifostine,Ifosfamide,1e-6,1e-4,NCI/ADR-RES,113.96
Amifostine,Chlorambucil,1e-6,1e-4,NCI/ADR-RES,52.021
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,NCI/ADR-RES,98.81
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,NCI/ADR-RES,85.93
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,NCI/ADR-RES,67.421
Ifosfamide,Chlorambucil,1e-6,1e-5,NCI/ADR-RES,88.619
Amifostine,Ifosfamide,1e-6,1e-5,NCI/ADR-RES,104.95
Amifostine,Chlorambucil,1e-6,1e-5,NCI/ADR-RES,89.591
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,NCI/ADR-RES,101.2
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,NCI/ADR-RES,97.14
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,NCI/ADR-RES,98.866
Ifosfamide,Chlorambucil,1e-6,1e-6,NCI/ADR-RES,102.499
Amifostine,Ifosfamide,1e-6,1e-6,NCI/ADR-RES,111.17
Amifostine,Chlorambucil,1e-6,1e-6,NCI/ADR-RES,104.699
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,NCI/ADR-RES,100.05
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,NCI/ADR-RES,108.25
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,NCI/ADR-RES,106.265
Hydroxyurea,Chlorambucil,3e-5,1e-4,NCI/ADR-RES,51.15
Hydroxyurea,Chlorambucil,3e-5,1e-5,NCI/ADR-RES,92.084
Hydroxyurea,Chlorambucil,3e-5,1e-6,NCI/ADR-RES,103.049
Ifosfamide,Chlorambucil,1e-4,1e-4,NCI-H23,3.743
Amifostine,Ifosfamide,1e-4,1e-4,NCI-H23,95.68
Amifostine,Chlorambucil,1e-4,1e-4,NCI-H23,16.565
Hydroxyurea,Chlorambucil,1e-4,1e-4,NCI-H23,0.086
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,NCI-H23,41.42
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,NCI-H23,74.99
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,NCI-H23,9.909
Ifosfamide,Chlorambucil,1e-4,1e-5,NCI-H23,104.034
Amifostine,Ifosfamide,1e-4,1e-5,NCI-H23,104.18
Amifostine,Chlorambucil,1e-4,1e-5,NCI-H23,86.966
Hydroxyurea,Chlorambucil,1e-4,1e-5,NCI-H23,94.764
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,NCI-H23,30.1
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,NCI-H23,80.68
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,NCI-H23,110.501
Ifosfamide,Chlorambucil,1e-4,1e-6,NCI-H23,104.565
Amifostine,Ifosfamide,1e-4,1e-6,NCI-H23,101.01
Amifostine,Chlorambucil,1e-4,1e-6,NCI-H23,114.891
Hydroxyurea,Chlorambucil,1e-4,1e-6,NCI-H23,113.576
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,NCI-H23,53.89
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,NCI-H23,71.09
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,NCI-H23,107.781
Ifosfamide,Chlorambucil,1e-5,1e-4,NCI-H23,8.9
Amifostine,Ifosfamide,1e-5,1e-4,NCI-H23,105.76
Amifostine,Chlorambucil,1e-5,1e-4,NCI-H23,17.45
Hydroxyurea,Chlorambucil,1e-5,1e-4,NCI-H23,8.327
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,NCI-H23,100.78
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,NCI-H23,102.07
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,NCI-H23,40.902
Ifosfamide,Chlorambucil,1e-5,1e-5,NCI-H23,89.047
Amifostine,Ifosfamide,1e-5,1e-5,NCI-H23,109.64
Amifostine,Chlorambucil,1e-5,1e-5,NCI-H23,97.978
Hydroxyurea,Chlorambucil,1e-5,1e-5,NCI-H23,94.082
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,NCI-H23,100.17
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,NCI-H23,83.17
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,NCI-H23,102.176
Ifosfamide,Chlorambucil,1e-5,1e-6,NCI-H23,110.149
Amifostine,Ifosfamide,1e-5,1e-6,NCI-H23,109.54
Amifostine,Chlorambucil,1e-5,1e-6,NCI-H23,122.822
Hydroxyurea,Chlorambucil,1e-5,1e-6,NCI-H23,106.202
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,NCI-H23,108.01
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,NCI-H23,89.06
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,NCI-H23,107.296
Ifosfamide,Chlorambucil,1e-6,1e-4,NCI-H23,6.897
Amifostine,Ifosfamide,1e-6,1e-4,NCI-H23,102.51
Amifostine,Chlorambucil,1e-6,1e-4,NCI-H23,14.735
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,NCI-H23,85.2
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,NCI-H23,100.04
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,NCI-H23,21.759
Ifosfamide,Chlorambucil,1e-6,1e-5,NCI-H23,102.891
Amifostine,Ifosfamide,1e-6,1e-5,NCI-H23,109.94
Amifostine,Chlorambucil,1e-6,1e-5,NCI-H23,100.132
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,NCI-H23,101.86
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,NCI-H23,98.77
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,NCI-H23,96.382
Ifosfamide,Chlorambucil,1e-6,1e-6,NCI-H23,100.977
Amifostine,Ifosfamide,1e-6,1e-6,NCI-H23,108.32
Amifostine,Chlorambucil,1e-6,1e-6,NCI-H23,131.18
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,NCI-H23,105.76
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,NCI-H23,95.3
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,NCI-H23,111.38
Hydroxyurea,Chlorambucil,3e-5,1e-4,NCI-H23,8.903
Hydroxyurea,Chlorambucil,3e-5,1e-5,NCI-H23,90.594
Hydroxyurea,Chlorambucil,3e-5,1e-6,NCI-H23,120.911
Ifosfamide,Chlorambucil,1e-4,1e-4,NCI-H226,48.459
Amifostine,Ifosfamide,1e-4,1e-4,NCI-H226,100.76
Amifostine,Chlorambucil,1e-4,1e-4,NCI-H226,64.524
Hydroxyurea,Chlorambucil,1e-4,1e-4,NCI-H226,79.361
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,NCI-H226,34.48
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,NCI-H226,60.82
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,NCI-H226,76.518
Ifosfamide,Chlorambucil,1e-4,1e-5,NCI-H226,80.14
Amifostine,Ifosfamide,1e-4,1e-5,NCI-H226,103.29
Amifostine,Chlorambucil,1e-4,1e-5,NCI-H226,97.868
Hydroxyurea,Chlorambucil,1e-4,1e-5,NCI-H226,104.161
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,NCI-H226,32.56
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,NCI-H226,76.53
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,NCI-H226,91.967
Ifosfamide,Chlorambucil,1e-4,1e-6,NCI-H226,100.24
Amifostine,Ifosfamide,1e-4,1e-6,NCI-H226,106.17
Amifostine,Chlorambucil,1e-4,1e-6,NCI-H226,101.926
Hydroxyurea,Chlorambucil,1e-4,1e-6,NCI-H226,111.869
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,NCI-H226,39.76
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,NCI-H226,65.98
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,NCI-H226,108.925
Ifosfamide,Chlorambucil,1e-5,1e-4,NCI-H226,50.453
Amifostine,Ifosfamide,1e-5,1e-4,NCI-H226,106.78
Amifostine,Chlorambucil,1e-5,1e-4,NCI-H226,69.016
Hydroxyurea,Chlorambucil,1e-5,1e-4,NCI-H226,80.334
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,NCI-H226,88.15
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,NCI-H226,85.22
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,NCI-H226,59.057
Ifosfamide,Chlorambucil,1e-5,1e-5,NCI-H226,85.036
Amifostine,Ifosfamide,1e-5,1e-5,NCI-H226,108.15
Amifostine,Chlorambucil,1e-5,1e-5,NCI-H226,94.691
Hydroxyurea,Chlorambucil,1e-5,1e-5,NCI-H226,89.174
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,NCI-H226,116.33
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,NCI-H226,107.45
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,NCI-H226,89.034
Ifosfamide,Chlorambucil,1e-5,1e-6,NCI-H226,116.802
Amifostine,Ifosfamide,1e-5,1e-6,NCI-H226,102.27
Amifostine,Chlorambucil,1e-5,1e-6,NCI-H226,96.489
Hydroxyurea,Chlorambucil,1e-5,1e-6,NCI-H226,106.218
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,NCI-H226,100.35
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,NCI-H226,103.12
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,NCI-H226,102.107
Ifosfamide,Chlorambucil,1e-6,1e-4,NCI-H226,53.592
Amifostine,Ifosfamide,1e-6,1e-4,NCI-H226,106.57
Amifostine,Chlorambucil,1e-6,1e-4,NCI-H226,58.969
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,NCI-H226,96.07
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,NCI-H226,107.81
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,NCI-H226,70.912
Ifosfamide,Chlorambucil,1e-6,1e-5,NCI-H226,82.44
Amifostine,Ifosfamide,1e-6,1e-5,NCI-H226,109.27
Amifostine,Chlorambucil,1e-6,1e-5,NCI-H226,97.77
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,NCI-H226,114.3
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,NCI-H226,105.95
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,NCI-H226,98.316
Ifosfamide,Chlorambucil,1e-6,1e-6,NCI-H226,106.205
Amifostine,Ifosfamide,1e-6,1e-6,NCI-H226,108.6
Amifostine,Chlorambucil,1e-6,1e-6,NCI-H226,97.868
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,NCI-H226,106.75
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,NCI-H226,97.12
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,NCI-H226,103.599
Hydroxyurea,Chlorambucil,3e-5,1e-4,NCI-H226,87.142
Hydroxyurea,Chlorambucil,3e-5,1e-5,NCI-H226,97.935
Hydroxyurea,Chlorambucil,3e-5,1e-6,NCI-H226,110.846
Ifosfamide,Chlorambucil,1e-4,1e-4,NCI-H322M,111.447
Amifostine,Ifosfamide,1e-4,1e-4,NCI-H322M,102.87
Amifostine,Chlorambucil,1e-4,1e-4,NCI-H322M,91.382
Hydroxyurea,Chlorambucil,1e-4,1e-4,NCI-H322M,135.565
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,NCI-H322M,77.26
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,NCI-H322M,83.45
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,NCI-H322M,87.352
Ifosfamide,Chlorambucil,1e-4,1e-5,NCI-H322M,107.36
Amifostine,Ifosfamide,1e-4,1e-5,NCI-H322M,106.76
Amifostine,Chlorambucil,1e-4,1e-5,NCI-H322M,120.061
Hydroxyurea,Chlorambucil,1e-4,1e-5,NCI-H322M,121.219
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,NCI-H322M,74.28
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,NCI-H322M,86.78
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,NCI-H322M,99.907
Ifosfamide,Chlorambucil,1e-4,1e-6,NCI-H322M,110.733
Amifostine,Ifosfamide,1e-4,1e-6,NCI-H322M,103.52
Amifostine,Chlorambucil,1e-4,1e-6,NCI-H322M,106.667
Hydroxyurea,Chlorambucil,1e-4,1e-6,NCI-H322M,119.911
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,NCI-H322M,86.2
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,NCI-H322M,82.62
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,NCI-H322M,108.657
Ifosfamide,Chlorambucil,1e-5,1e-4,NCI-H322M,101.063
Amifostine,Ifosfamide,1e-5,1e-4,NCI-H322M,103.41
Amifostine,Chlorambucil,1e-5,1e-4,NCI-H322M,107.337
Hydroxyurea,Chlorambucil,1e-5,1e-4,NCI-H322M,119.097
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,NCI-H322M,106.1
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,NCI-H322M,100.41
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,NCI-H322M,104.078
Ifosfamide,Chlorambucil,1e-5,1e-5,NCI-H322M,95.116
Amifostine,Ifosfamide,1e-5,1e-5,NCI-H322M,107.96
Amifostine,Chlorambucil,1e-5,1e-5,NCI-H322M,109.073
Hydroxyurea,Chlorambucil,1e-5,1e-5,NCI-H322M,98.665
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,NCI-H322M,88.6
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,NCI-H322M,104.51
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,NCI-H322M,100.914
Ifosfamide,Chlorambucil,1e-5,1e-6,NCI-H322M,105.948
Amifostine,Ifosfamide,1e-5,1e-6,NCI-H322M,103.38
Amifostine,Chlorambucil,1e-5,1e-6,NCI-H322M,109.359
Hydroxyurea,Chlorambucil,1e-5,1e-6,NCI-H322M,119.93
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,NCI-H322M,106.47
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,NCI-H322M,106.08
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,NCI-H322M,103.836
Ifosfamide,Chlorambucil,1e-6,1e-4,NCI-H322M,96.898
Amifostine,Ifosfamide,1e-6,1e-4,NCI-H322M,110.75
Amifostine,Chlorambucil,1e-6,1e-4,NCI-H322M,101.919
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,NCI-H322M,91.8
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,NCI-H322M,98.98
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,NCI-H322M,102.539
Ifosfamide,Chlorambucil,1e-6,1e-5,NCI-H322M,102.951
Amifostine,Ifosfamide,1e-6,1e-5,NCI-H322M,106.37
Amifostine,Chlorambucil,1e-6,1e-5,NCI-H322M,110.725
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,NCI-H322M,107.29
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,NCI-H322M,108.53
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,NCI-H322M,108.648
Ifosfamide,Chlorambucil,1e-6,1e-6,NCI-H322M,102.396
Amifostine,Ifosfamide,1e-6,1e-6,NCI-H322M,101.88
Amifostine,Chlorambucil,1e-6,1e-6,NCI-H322M,107.18
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,NCI-H322M,112.08
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,NCI-H322M,111.64
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,NCI-H322M,117.326
Hydroxyurea,Chlorambucil,3e-5,1e-4,NCI-H322M,129.713
Hydroxyurea,Chlorambucil,3e-5,1e-5,NCI-H322M,138.266
Hydroxyurea,Chlorambucil,3e-5,1e-6,NCI-H322M,110.395
Ifosfamide,Chlorambucil,1e-4,1e-4,NCI-H460,28.91
Amifostine,Ifosfamide,1e-4,1e-4,NCI-H460,100.73
Amifostine,Chlorambucil,1e-4,1e-4,NCI-H460,39.594
Hydroxyurea,Chlorambucil,1e-4,1e-4,NCI-H460,21.098
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,NCI-H460,89.95
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,NCI-H460,94.69
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,NCI-H460,25.685
Ifosfamide,Chlorambucil,1e-4,1e-5,NCI-H460,94.812
Amifostine,Ifosfamide,1e-4,1e-5,NCI-H460,108.15
Amifostine,Chlorambucil,1e-4,1e-5,NCI-H460,99.857
Hydroxyurea,Chlorambucil,1e-4,1e-5,NCI-H460,55.854
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,NCI-H460,88.06
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,NCI-H460,96.12
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,NCI-H460,99.518
Ifosfamide,Chlorambucil,1e-4,1e-6,NCI-H460,111.969
Amifostine,Ifosfamide,1e-4,1e-6,NCI-H460,106.71
Amifostine,Chlorambucil,1e-4,1e-6,NCI-H460,99.5
Hydroxyurea,Chlorambucil,1e-4,1e-6,NCI-H460,66.413
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,NCI-H460,86.16
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,NCI-H460,97.45
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,NCI-H460,112.741
Ifosfamide,Chlorambucil,1e-5,1e-4,NCI-H460,23.703
Amifostine,Ifosfamide,1e-5,1e-4,NCI-H460,101.81
Amifostine,Chlorambucil,1e-5,1e-4,NCI-H460,46.496
Hydroxyurea,Chlorambucil,1e-5,1e-4,NCI-H460,22.012
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,NCI-H460,100.8
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,NCI-H460,106.98
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,NCI-H460,51.689
Ifosfamide,Chlorambucil,1e-5,1e-5,NCI-H460,100.782
Amifostine,Ifosfamide,1e-5,1e-5,NCI-H460,103.46
Amifostine,Chlorambucil,1e-5,1e-5,NCI-H460,99.161
Hydroxyurea,Chlorambucil,1e-5,1e-5,NCI-H460,96.396
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,NCI-H460,100.94
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,NCI-H460,106.26
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,NCI-H460,101.088
Ifosfamide,Chlorambucil,1e-5,1e-6,NCI-H460,111.628
Amifostine,Ifosfamide,1e-5,1e-6,NCI-H460,103.8
Amifostine,Chlorambucil,1e-5,1e-6,NCI-H460,102.4
Hydroxyurea,Chlorambucil,1e-5,1e-6,NCI-H460,107.51
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,NCI-H460,101.58
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,NCI-H460,108.35
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,NCI-H460,107.45
Ifosfamide,Chlorambucil,1e-6,1e-4,NCI-H460,26.078
Amifostine,Ifosfamide,1e-6,1e-4,NCI-H460,103.03
Amifostine,Chlorambucil,1e-6,1e-4,NCI-H460,39.846
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,NCI-H460,97.09
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,NCI-H460,108.37
